source,target
mrk,merek
msh,masih
msk,masuk
mslh,masalah
msti,pasti
msuk,masuk
mudh,mudah
muke,muka
musyafir,musafir
mw,mau
mz,mas
nafas,napas
nafas,napas
nahas,naas
nahkoda,nakhoda
naksir,suka
nampak,tampak
nanya,tanya
napa,kenapa
nasehat,nasihat
ndak,tidak
negatip,negatif
negri,negeri
nelp,nelpon
nelpon,telefon
netto,neto
ngak,tidak
ngalah,mengalah
ngapa,mengapa
ngapain,mengapa
ngebela,membela
ngebosenin,bosan
ngga,tidak
nggak,tidak
nggilani,menjijikan
ngibul,menipu
ngikut,ikut
ngikutin,mengikuti
ngingetin,memngingatkan
ngk,nggak
ngurus,urus
ngurusin,urus
ni,ini
nnt,nanti
nnti,nanti
nntn,nonton
nomer,nomor
nopember,november
notulen,notula
np,napa
npa,kenapa
nt,ente
nti,nanti
ntr,entar
nulis,tulis
nunggu,tunggu
ny,nya
nyari,mencari
nyimak,simak
nyinyir,cerewet
obyek,objek
obyektif,objektif
omset,omzet
onyet,monyet
org,orang
organisir,organisasi
orisinil,orisinal
orng,orang
otewe,dalam perjalanan
otw,di jalan
pa,apa
palm,palem
paradok,paradoks
paramedi,paramedis
pas photo,pasfoto
pasport,paspor
pavilion,paviliun
pd,pada
pdhl,padahal
pebruari,februari
pedes,pedas
pengen,ingin
penghianat,pengkhianat
pg,pagi
photo,foto
photokopi,fotokopi
pingin,ingin
piranti,peranti
pke,pakai
pkl,pukul
plg,paling
plh,pulih
pls,pulsa
pnah,punah
pnggil,panggil
pnting,penting
pny,punya
pnya,punya
pnyanyi,penyanyi
pondasi,fondasi
pp,pulang pergi
prmpuan,perempuan
prnah,pernah
prnh,pernah
produktifitas,produktivitas
produktip,produktif
projek,proyek
propinsi,provinsi
prototif,prototipe
psang,pasangan
psg,pasang
psng,pasangan
pulng,pulang
pusng,pusing
putera,putra
puteri,putri
py,punya
q,aku
qm,kamu
rangsel,ransel
rapih,rapi
rapot,rapor
rasionil,rasional
rbu,ribu
rejeki,rezeki
remaj,remaja
rematik,reumatik
resiko,risiko
resistan,resistans
respon,respons
rmh,rumah
sahid,syahid
sambel,sambal
sangsi,sanksi
saos,saus
sbab,sebab
sbb,sebab
sbelah,sebelah
sbg,sebagai
sbgn,sebagian
sblah,sebelah
sblm,sebelum
sbnrnya,sebenarnya
sbntr,sebentar
sbt,sebut
sbuk,sibuk
scr,secara
scra,secara
sdarilah,sadarilah
sdg,sedang
sdh,sudah
sdkt,sedikit
sdr,saudara
sdri,saudari
se7,setuju
sekala,skala
sekedar,sekadar
sekertaris,sekretaris
seksama,saksama
selaen,selain
semi final,semifinal
sempet,sempat
seneng,senang
seprei,seprai
sgl,segel
sgra,segera
sgt,segitu
sht,sehat
sintesa,sintesis
sistim,sistem
sistimatis,sistematis
sj,saja
skit,sedikit
sklh,sekolah
skli,sekali
skolah,sekolah
skr,sekarang
skrg,sekarang
skrng,sekarang
skul,sekolah
slama,selama
slamat,selamat
slasa,selasa
slg,selagi
sll,selalu
sllu,selalu
slmt,selamat
slng,saling
slsa,selasa
slse,selesai
slu,selalu
sm,sama
sma,sama
smbil,sambil
smg,semogo
smkin,semakin
smlm,semalam
smngt,semangat
smp,sampai
smpai,sampai
smpe,sampai
smpt,sempet
smt,semester
smtr,semester
smua,semau
smw,semua
snang,senang
sndri,sendiri
snen,senin
sneng,senang
sng,senang
snggup,sanggup
sngt,sangat
sni,kesini
snin,senin
snyum,senyum
sono ,sana
sp,siapa
spa,siapa
sprt,seperti
sprti,seperti
spt,seperti
spti,seperti
spy,supaya
ssh,susah
standarisasi,standardisasi
stuju,setuju
subyek,subjek
sukur,syukur
sumpe,sumpah
surt,surat
survey,survei
sush,susah
sutera,sutra
sy,saya
sya,saya
syah,sah
syahih,sahih
syaraf,saraf
syg,sayang
syp,siapa
t4,tempat
tapsiran,tafsiran
taubat,tobat
tauladan,teladan
tauladan,teladan
tbh,tabah
td,tadi
tdi,tadi
tdk,tidak
tdr,tidur
team,tim
tehnik,teknik
tehnisi,teknisi
tehnologi,teknologi
telpon,telepon
tentram,tenteram
teoritis,teoretis
terbru,terburu
terimakasih,terima kasih
tgas,tegas
tggu,tunggu
tgh,tengah
tgl,tanggal
tgn,tangan
tgs,tugas
thesis,tesis
thn,tahun
thx,terima kasih
ti2,hati-hati
tidk,tidak
tinggl,tinggal
titi,hati-hati
tlah,telah
tlg,tolong
tlng,tolong
tlp,telepon
tmn,teman
tmpt,tempat
tnggl,tinggal
tnp,tanpa
tntang,tentang
tny,tanya
tnya,tanya
toladan,teladan
tp,tapi
tradisionil,tradisional
trampil,terampil
transport,transpor
trdengar,terdengar
trims,terima kasih
triplek,tripleks
tropi,trofi
trpaksa,terpaksa
trs,terus
trus,terus
tt,tuker tambah
ttg,tentang
ttp,tetapi
tu2p,tutup
tugs,tugas
tuk,untuk
tw,tau
uda,sudah
udh,sudah
ulng,ulang
univ,universita
urgent,urgen
urin,urine
ust,ustadz
ustad / ustadz,ustaz
utk,untuk
utng,untung
varitas,varietas
vermak,permak
walikota,wali kota
walo,walau
walopun,walaupun
warbyasa,luar biasa
wasap,whatsapp
wirausaha,wira usaha
wkwk,tawa
wkwkwk,tawa
wlpn,walaupun
wnt,wanita
wrn,warna
wrna,warna
wudhu,wudu
x,kali
xixixi,senyum
y,ya
yaa,ya
yanx,sayang
yap,ya
yaudah,yasudah
yg,yang
yha,ya
yng,yang
yo,ayo
yoi,ya
yok,ayo
yudo,judo
yukk,ayo
yukz,ayo
yunior,junior
yup,ya
yups,ya
yuq,ayo
yutub,youtube
yutup,youtube
z,aja
zam-zam,zamzam
zone,zona
